generation,baseNumberPoints,numberValueCoefficient,mostHeldColorPoints,colorRatioCoefficient,significantLeadRatio,playColorDislikedByHighestPlayerPoints,reversePoints,skipPoints,drawTwoPoints,wildDrawFourPoints,heldColorCoefficient,calledColorPoints,fitness,points,rate
1,1.0,0.9174576942638379,1.8316022673554802,3.8363385639006493,0.5,1.0,5.5075260493469065,5.0,6.0,10.243619242485442,3.0,0.44768081305668217,60769.522099999995,239533,0.2537
2,1.2831285228442546,0.7973802657304949,0.019401593262514893,4.0,0.5,1.0,5.474750209881137,4.616884862695873,5.955860744302326,10.621842367666556,3.0,0.44768081305668217,61412.491799999996,240174,0.2557
3,1.0596134150918162,0.5994308121630192,0.909586404511874,3.2898900443692534,0.5,0.994025816260958,5.5075260493469065,5.034658140376038,5.375394681666632,10.801575012995894,3.0,0.44768081305668217,60733.994300000006,239771,0.2533
4,1.0,0.5431342636100203,0.6619381693042045,4.430839154441463,0.2707775095401477,1.511192496796128,5.5075260493469065,5.029167787836952,5.235222178712896,10.203555945169864,3.0,0.5968258715475427,59666.44499999999,238475,0.2502
5,1.7500734649813845,1.0091137454294927,0.297457932199628,2.7170494417796838,-0.21231308684152386,0.4939273039604817,5.462406639889589,5.1163157149501,4.8121419653535735,10.243619242485442,2.800739659345653,0.5545666429428743,61162.5703,238823,0.2561
6,0.7232562747159932,0.5079107005805102,-0.3846051869442668,3.873639749459674,0.7754760247875787,1.511192496796128,5.7586350568751605,4.62993598970287,5.222105221995595,9.771666548090986,3.006604581443837,0.5968258715475427,61763.74080000001,242782,0.2544
7,1.7294086519721996,1.3948857612460293,0.297457932199628,2.7170494417796838,0.2707775095401477,1.5039689686337046,5.450636829187501,5.3793006092322475,5.579511928888669,10.543008063430685,3.250885254150423,0.6080619218325041,61262.481799999994,238654,0.2567
8,1.7294086519721996,0.673372438155033,0.297457932199628,3.1399986938533133,0.7570301209035033,1.5039689686337046,5.450636829187501,5.1704229996276805,4.919004117776692,10.543008063430685,2.3921930414824955,-0.6732341986441926,59922.6368,236288,0.2536
9,0.8505834169954405,0.48684991986288995,0.1673065499362764,3.1539070997515792,0.7570301209035033,1.0374947200873346,5.875712210249945,4.046224595140286,4.8097494472587,9.66202484591279,2.6347318720816495,0.15366945761435283,60625.22640000001,238776,0.2539
10,0.9121044032650263,0.48684991986288995,0.1673065499362764,3.1539070997515792,0.3701533276746374,1.0374947200873346,6.370676796454813,4.046224595140286,5.369777992769518,10.358612467189886,2.739930265964905,-0.059338463865618224,63207.655,244045,0.259
11,0.7014228472420779,0.8466029638913263,0.5270273599701119,4.298434019255996,6.98835894749894E-4,1.6455992464548201,5.81780892523836,3.450825914576832,4.9540682070232505,9.501735813009262,2.9927223758835204,0.6103495284680369,59677.366500000004,238233,0.2505
12,1.1579899876208906,-0.21683404706784637,0.7531460330517525,3.6006625941565784,0.3701533276746374,0.9577764294763721,6.46699138142286,3.450825914576832,5.512843444854482,10.358612467189886,2.739930265964905,-0.4570410417462542,61349.0065,241057,0.2545
13,0.7099507594633163,-0.12164150921529364,0.5270273599701119,4.258812240867787,6.98835894749894E-4,1.3622613984304703,5.960332139661226,3.432814307805459,5.655819056560327,10.60258709152916,2.546347485690124,0.7278493097615475,62876.44440000001,241461,0.2604
14,0.7725961083285459,1.027822713190419,0.7650061278736727,5.12582276634512,-0.0576266713592723,1.5659317354704996,6.202884932919705,2.564927703376349,4.433483195149803,9.471435410195093,3.1099085514641955,-0.34426539044799775,63116.713200000006,243788,0.2589
15,0.7232562747159932,-0.1036997380997777,1.1686326830525517,4.443971326547189,-0.16381023034223374,0.9577764294763721,6.82301763808207,3.737283398337984,5.7144655903722095,10.568683199721601,2.6596656684684215,0.6747930156007276,63242.66559999999,246368,0.2567
16,0.7006694455954845,-0.1549761201541805,-0.17094317276538196,4.137419640942429,0.0870822489662586,1.3622613984304703,5.989661616568626,3.737283398337984,5.912564176079491,10.190338318775865,2.4690638817054356,0.15971206632061458,62448.4408,242236,0.2578
17,0.9361304503495329,-0.555939523841716,2.4504204401572833,3.894761930108867,-0.21612142460361333,1.3976296957164869,6.939133126064285,3.8718846433658443,6.177986006590557,9.159794789945842,2.756502244850299,0.48271053255854957,61984.8657,242223,0.2559
18,0.9361304503495329,-0.16644165892665608,2.4504204401572833,4.3344351842898705,-0.21612142460361333,1.8180358446419174,7.20703415336759,3.3478112690334703,6.231901892454998,10.56151266433642,2.756502244850299,0.2641998357514882,63319.24489999999,244193,0.2593
19,1.4899476823101758,-0.555939523841716,3.1043641084177804,5.258568283230399,-1.154536506569274,2.036202731024226,7.197215250099913,4.50157444583,5.5701807547316475,10.356233816196474,2.948977296047104,0.6340294313324238,62632.49279999999,243896,0.2568
20,1.5348222373712188,-0.09835311736934163,2.28364612890275,5.258568283230399,0.3607059814499626,2.036202731024226,7.919375060059565,3.5255611885928735,6.231901892454998,10.356233816196474,3.009430447557697,0.7100131954962962,64564.8783,247091,0.2613
21,0.2845084955889137,-0.7943556013417833,2.314808230154859,4.278851068951217,-0.6040675542456253,2.2253901350685927,8.21313411436846,3.6035261505331815,6.280152974448183,10.347839698966574,2.7780192855743913,0.671819654676933,63851.825399999994,245773,0.2598
22,1.035408445005445,-1.080206234135153,2.314808230154859,3.7684068206455987,0.0792627775592476,1.6368972676044116,7.31886639448932,4.100610779616491,6.280152974448183,10.216484836587991,3.0823357771089075,1.339713979102691,64116.9263,244069,0.2627
23,1.035408445005445,-0.5157981719480933,2.314808230154859,4.234982073201987,0.0792627775592476,2.2009760182368274,7.262845502973508,4.884830423779215,6.9125379956583215,10.680568191441242,3.2987947595696068,1.3581716130243267,62901.384399999995,245134,0.2566
24,0.36538571730402714,-0.5157981719480933,2.5738296734267054,4.144427499293251,-0.13142214426797078,2.8920723841970677,7.344736211990682,4.784033060866952,6.132576984264563,10.625046773242616,2.7071043306583604,1.2679714320932143,63071.5056,243896,0.2586
25,0.2902906193108581,-0.8508127764360202,2.632585375659115,4.208335904397029,-0.4710771470775743,2.300901521008578,7.152865204056775,3.5255611885928735,6.2169949188998395,9.999429538662955,2.868354899885599,1.0470473529124515,62919.093199999996,244631,0.2572
26,1.3046956990836769,-0.4577411836197893,2.0748051201745192,4.208335904397029,0.09026019504280255,1.7618717995199547,7.206352699593405,4.884830423779215,6.09945035062892,10.602427910912251,4.188525520282127,1.2842759295703878,64441.4778,243543,0.2646
27,0.19145110498123935,-0.8508127764360202,3.092993095945637,4.208335904397029,0.0020730830405606415,2.1274430126192683,6.888214971402343,3.9465487078560564,6.41952532914805,10.788786747091383,3.1137963465259633,1.649687902163641,67424.64600000001,251116,0.2685
28,0.19145110498123935,-0.8508127764360202,3.092993095945637,4.208335904397029,-0.18093078781985888,2.5808471044096395,6.633087295026939,4.884830423779215,7.962948171194111,10.788786747091383,3.1137963465259633,1.5753903753892564,63896.25119999999,245944,0.2598
29,1.264000184871863,-0.052912426904234866,1.6777150444557711,4.283924097483838,-0.3120035760926606,1.7618717995199547,6.99982882680175,5.062657013970511,5.621941866999654,10.112124175592237,3.5667788023251545,0.43724564260601406,63002.7006,242598,0.2597
30,1.4161452551039693,-0.052912426904234866,1.6777150444557711,4.283924097483838,0.24067256370577525,2.0594877319583476,6.739392214507895,5.062657013970511,5.390881273352245,10.848124416856043,3.632584683149791,0.6842225443608699,63426.563500000004,242549,0.2615
31,-0.16707487336829863,-0.03451023286477954,0.4273179837889688,4.606594617675009,0.22965638219410348,1.3567715186681177,6.739392214507895,5.4225994871002605,5.621941866999654,10.908345971957509,3.5667788023251545,0.03269753663136571,62115.47290000001,240851,0.2579
32,0.3926926704525365,-0.6709086364873273,2.213442900634634,4.573844274157664,-0.07608946978556244,1.8189183712033168,6.768326994704117,4.839791135512702,6.114588262736367,11.210146820260494,4.29040930629982,1.2672029404053138,65430.560000000005,251656,0.26
33,-0.019324215913147313,-0.6709086364873273,2.333595483273791,4.818101774994634,-0.38848755412939845,2.691782821891123,6.768326994704117,4.470977835035263,6.867536033704211,11.210146820260494,4.29040930629982,1.5292974584797634,64267.0245,245763,0.2615
34,-0.596622997152498,-0.03451023286477954,0.4273179837889688,5.413571072903548,-0.5362511527473579,1.595979494910557,7.668073897469098,5.367405714505887,5.124502041089216,10.521046604730497,4.411854181652454,1.5727670147497548,65491.2135,248355,0.2637
35,0.21230882292081227,-0.6709086364873273,2.333595483273791,5.186090228047594,0.01158789878034536,2.691782821891123,6.721647948852949,4.574425994967953,6.7413091828687195,11.210146820260494,4.767422494010679,1.0310313748322377,63636.325500000006,245795,0.2589
36,0.33978529711035277,-0.6709086364873273,0.07989598169067724,4.917582150301406,-0.563547101761267,2.002566239335877,7.007895308701582,4.562158827330207,6.4159255213360735,11.080765777640206,4.41769704069647,1.663088300237969,63472.9788,244503,0.2596
37,0.30620917711265905,-1.0525725414225606,2.453840059085578,5.317183451143124,-0.37838668001530523,3.269685862857526,6.703501111612767,4.501128508232998,6.161424976158916,11.145196880951895,4.767422494010679,2.072085220353885,64706.4192,245472,0.2636
38,0.33978529711035277,-0.694318468780282,0.689468848191276,5.191022016256358,-0.17084822539917785,3.2979390613867716,7.139387427845792,4.032705765258629,6.189260457036053,12.094334935349641,3.77011412754758,1.4106409019757749,65010.1302,247941,0.2622
39,0.33978529711035277,-0.559734562917561,2.3857551203396996,5.336435920621311,-0.37838668001530523,3.269685862857526,6.9484304344859735,4.032705765258629,5.901084812174593,11.091360623147153,5.097701635081761,2.0763350253424733,63883.484,245140,0.2606
40,0.6796871119127206,-0.559734562917561,2.3765732227924152,5.250792158123533,-1.2191736687189252,3.269685862857526,6.9484304344859735,4.662146009024232,7.36553399308765,11.091360623147153,5.08811642196442,1.9823357235731796,64646.445,244410,0.2645
41,0.5868567146020902,-0.6772076037054616,2.509918421623085,6.293975629170927,-0.8094698644376943,3.332561415239657,6.9484304344859735,4.195591354072132,7.36553399308765,11.091360623147153,5.8759641328612755,1.9823357235731796,63978.386999999995,245410,0.2607
42,-0.47291297071131044,-0.3697853080601586,3.414399785720034,5.7015156657293415,-1.0875767330118697,2.561131237817629,7.171087605335154,4.62102206000848,6.917731959288226,10.86791087012186,5.33425066143189,1.84732188012754,64418.4514,244658,0.2633
43,0.6605179449007826,-0.6772076037054616,2.509918421623085,6.293975629170927,-0.6184722630926902,3.3663506842769855,6.270275102520295,4.066364249645931,7.464449428281105,11.908672782901672,5.965382618883064,1.84732188012754,64642.474,246727,0.262
44,0.7043367511433203,-0.5258779599332969,3.4102941813726577,6.311109857695198,-0.6850710830219487,3.52372622976974,6.050025229160803,4.706151255273791,7.229721977975885,10.46160384864766,5.68097438714697,2.1407542575567797,67394.72200000001,250538,0.269
45,0.4792649633244653,-0.6772076037054616,3.238733333110113,5.507856438629122,-0.2617733444973887,3.425159843417503,6.948723241768376,4.15673170932555,7.970006592685937,11.469270960035818,5.444242121380513,1.7673687021883135,64086.5232,246108,0.2604
