generation,baseNumberPoints,numberValueCoefficient,mostHeldColorPoints,colorRatioCoefficient,significantLeadRatio,playColorDislikedByHighestPlayerPoints,reversePoints,skipPoints,drawTwoPoints,wildDrawFourPoints,heldColorCoefficient,calledColorPoints,fitness,points,rate
1,10.39310103620763,2.9694262248287564,13.355792725530547,10.223132585752614,6.464775931906327,7.11804360215151,10.267249385428306,6.224202862887315,3.81889124978712,8.96544880839011,12.298842922791424,2.719308888397775,104882.636,330235,0.3176
2,5.406831693768933,2.9844949832708654,7.976561331352885,10.20044735553005,3.9265445611046754,6.974512153763897,5.631835093727509,5.682305817095782,12.943308272063708,8.927854121603714,7.109742552035553,3.6216046153050554,108067.30679999999,334781,0.3228
3,10.592140047888655,2.878175861203903,7.1365003268585046,10.228189702596625,7.668668882534042,6.845515714350293,10.304237231215895,6.220553750773304,13.655706362731658,3.316500614921796,13.594769645376452,2.093878859089315,109647.93000000001,336860,0.3255
4,10.592873417136138,-0.26374196517116455,6.993149617516277,8.102080030773669,3.504024530972245,6.836384215726429,11.61437253120222,5.470366878744766,13.656224373595622,3.302542518992576,13.60911129774373,2.0877004676352393,110852.90969999999,338689,0.3273
5,10.439062969271943,-0.2625837886440841,7.039150370450104,8.517167674299728,3.504801464727828,8.95085172814241,10.612971809760325,6.160633086526003,11.429852820689636,8.906339590608338,15.518084161255826,2.854919407430437,110829.15620000001,338513,0.3274
6,10.352798964986489,2.4736471848942405,15.263739787781072,10.98334641294632,1.6665346620120407,7.427624641481419,10.045883742617402,5.961895821696356,14.010043948727544,8.694819709796844,13.577663154489603,2.4609733648069736,112748.7254,339298,0.3323
7,10.634787768354165,-0.25497459392811983,5.439501772946476,11.769484932692386,2.7879829360467223,7.012892848907174,10.217210000272656,5.425060576869638,11.701810553235418,9.103564365606951,12.793332188595748,2.131033053028326,114251.8723,342379,0.3337
8,10.522436245080371,0.3078176530364083,7.291291201814295,11.968251552146096,2.8157958363787725,5.874528284212315,11.70162166935226,5.666666359230523,11.704555489119368,9.05658372640721,12.774262616596486,2.1671024792977236,115952.93100000001,348207,0.333
9,10.565733850788002,0.09370103327470247,17.049066618880552,13.20718471568164,2.349720470810932,6.185799391223532,10.490144135068288,5.496988245549035,13.939549391879902,3.544589231766547,13.339718910256988,1.795969946239261,112826.637,342210,0.3297
10,10.575549211558396,0.5695066095280257,17.049728743803993,11.971151194690622,4.171748318401596,5.873285474106029,11.705108356384251,5.500741299023179,11.703324180921955,8.744387479159458,10.372190004514762,1.7953342594727073,110253.00420000001,338823,0.3254
11,11.668115583217118,2.6345564479532477,18.879709472719806,11.97350453311662,4.342920169224647,3.9157345556368,12.142551490344408,3.3998860486515095,15.45358835469946,8.77633475893824,10.371344691474297,3.2251764738107243,115493.44949999999,346515,0.3333
12,10.635127290940703,-0.28091039734955947,14.294269407469944,11.972472713594138,3.42735135884078,6.7245241634461985,11.023438899374158,3.0363912557998463,13.699740048752602,5.2041250911640216,10.143386391849422,3.038088179957607,113262.7935,340845,0.3323
